item,itemLabel,position,positionLabel,startDate,endDate,psid
Q112325566,Ahmad Babiker Nahar,Q112325298,Minister of Labour,2015-06-07,2018-09-09,Q112325566-18CB2789-5F95-4877-A068-4479B050B4EC
Q112325568,Ahmed Mohammed Saddiq al-Karrouri,Q112325301,Minister of Mining,2013-12-08,2017-05-12,Q112325568-0F0EA44A-7F98-4E3C-A5DE-A0D839E84142
Q112325569,Ahmed Saad Omar Khidir,Q112325274,Minister of Cabinet Affairs,2011-12-27,2018-05-14,Q112325569-EEED9192-2EDA-41CC-A75D-A14F5AFE17B4
Q112325572,Al-Fatih Ali Sidiq,Q112325293,Minister of International Cooperation,2015-06-07,2017-05-12,Q112325572-62334028-A3E2-4CE4-A609-D839A02A76AF
Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q112325288,Minister of Human Resources,2015-06-07,2018-09-09,Q112325577-3F7E2F21-7AFA-4D25-B6CD-310F9EBCAA19
Q112325580,Al-Tayyib Hassan Badawi,Q112325276,Minister of Culture,2015-06-07,2018-09-09,Q112325580-F5210FA9-0659-407A-A1AA-F242D47094C0
Q112325594,Awad al-Hassan al-Nur,Q112325297,Minister of Justice,2015-06-07,2017-05-12,Q112325594-F1371732-B2F6-4F6E-AFA6-72C295718512
Q112325597,Badereldien Mahmoud,Q105926147,Minister of Finance and Economy,2013-12-08,2017-05-12,Q112325597-92A1708C-D4EF-4F6B-8621-81F5F84EBC0C
Q112325599,Bahr Idris Abu Garda,Q112325286,Minister of Health of Sudan,2011-12-27,2018-09-09,Q112325599-42413257-C995-418B-92E4-58842DD51D95
Q112325625,Esmat Abdel-Rahman,Q112325292,Minister of Interior,2014-06-25,2017-05-12,Q112325625-53613B18-037B-403F-8496-DA9765E294C4
Q112325628,Faisal Hassan Ibrahim,Q112325284,Minister of Federal Government,2015-06-07,2018-09-09,Q112325628-C186355D-A28F-433F-BFF8-F35E04D2CDF3
Q112325630,Fatih Taj-al-Sir Abdalla,Q112325308,Minister of Religious Affairs,2013-01-15,2017-05-12,Q112325630-4DDD7AA1-E4E0-4B35-BD47-F827A519ADC5
Q112325637,Haider Galakumah,Q112325322,Minister of Youth and Sports,2015-06-07,2017-05-12,Q112325637-F0876956-A757-4E95-93B7-77B727F2456C
Q112325652,Hassan Mohammed Hilal,Q112325282,Minister of Environment,2011-12-27,2018-09-09,Q112325652-1AC7D8F6-E264-421E-B560-676C4F5EA1F1
Q112325653,Ibrahim Adam Ahmed Al-Dekhairi,Q112325266,Minister of Agriculture,2015-06-07,2017-05-12,Q112325653-5D0A8E36-C999-448C-957D-62D550C3FE6D
Q112325714,Makawi Mohammed Awad,Q112325317,Minister of Transport,2015-06-07,2018-09-09,Q112325714-CC5277CB-DA3B-4F73-A62C-0DB987C01CE4
Q112325717,Mansour Yousif Al-Agab,Q112325315,Minister of Trade,2015-06-07,2017-05-12,Q112325717-C14A191F-5436-4AD9-BFE8-70E0A0A50CDD
Q112325719,Mashaer Mohamed Al-Amin Abdallah,Q112325320,Minister of Welfare,2013-12-08,2018-09-09,Q112325719-6D32933D-BEDB-4219-8CB5-53605FA19C35
Q112325723,Modathir Abdul-Ghani Abdul-Rahman,Q112325294,Minister of Investment,2015-06-07,2017-05-12,Q112325723-D2114711-803E-4C6A-A14E-41336A7194EB
Q112325725,Mohamed Abu Zaid Mustafa,Q112325271,"Minister of Antiquities, Tourism and Wildlife",2015-06-07,2018-09-09,Q112325725-74B3CE94-DC44-4005-8199-411384EED8BF
Q112325727,Mohamed Ahmed bin Awaf,Q85851442,Minister of Defence,2015-08-23,2019-02-23,Q112325727-1438E473-9DD5-42D5-96C0-F3282199A827
Q112325730,Mohamed Zayed Awad,Q112325303,Minister of Petroleum and Gas,2015-06-07,2017-05-12,Q112325730-96D8E67F-0EEE-4AC0-8225-7C488FE10452
Q112325735,Mohammed Yousif Ali Yousif,Q112325290,Minister of Industry,2015-06-07,2017-05-12,Q112325735-3559F2EF-8CCD-4693-8F6D-451A07C485A8
Q112325746,Musa Tibin Musa,Q112325270,Minister of Animal Resources,2015-06-07,2017-05-12,Q112325746-8E051412-D7B3-4070-8FD6-583477029906
Q112325747,Mustafa Osman al Obeid,Q85851442,Minister of Defence,2015-06-07,2015-08-23,Q112325747-251521DC-4E66-4E02-B109-F7F9EAD50ADE
Q112325762,Salaheddin Wansi Mohammed Khair,Q112325306,Minister of Presidential Affairs,2013-12-08,2017-05-12,Q112325762-E49C1840-E970-4F84-AE1B-05CB09213328
Q112325766,Suaad Abdul Razig,Q112325279,Minister of Education,2011-12-27,2017-05-12,Q112325766-4EEDCD82-636E-4167-958C-5D16ED68AAC9
Q112325796,Sumaya Mohammed Ahmed Abu-Kashawa,Q111192544,Minister of Higher Education and Scientific Research,2013-12-08,2018-09-09,Q112325796-9E91BE89-408D-45F5-9ED4-90A1A3F70434
Q112325798,Tahani Abdallah Attiya,Q112325275,Minister of Communications and Information Technology,2015-06-07,2018-09-09,Q112325798-42863E4F-30D4-4548-89E8-245D098F961D
Q15700032,Bakri Hassan Saleh,Q7925069,Vice President of Sudan,2013-12-07,2019-02-23,Q15700032-06D9F8A9-73FC-4D88-9E55-77165FE4A48D
Q15700032,Bakri Hassan Saleh,Q30100623,Prime Minister of Sudan,2017-03-02,2018-09-10,Q15700032-0725b25b-4978-a04c-b2eb-5ad7464afb68
Q15700032,Bakri Hassan Saleh,Q7925069,Vice President of Sudan,2013-12-08,2017-03-01,Q15700032-8C04A3A8-0E8C-4BF1-A9D1-2F01219163C9
Q16127041,Hassabu Mohamed Abdalrahman,Q7925069,Vice President of Sudan,2013-12-07,2018-09-10,Q16127041-9CA7B833-5E4A-4D0B-9B50-F3844882172A
Q21933547,Ibrahim Ghandour,Q109984815,Minister of Foreign Affairs,2015-06-07,2018-04-19,Q21933547-A5D1A38F-4339-4ECE-8391-768D965CACDD
Q4695771,Ahmed Bilal Osman,Q112325291,Minister of Information,2013-12-08,2018-09-09,Q4695771-51565106-039D-42A4-968B-DD0C2D4CBF91
Q56556415,Motazz Moussa,Q112325318,Minister of Water Resources,2015-06-07,2018-09-09,Q56556415-45C04143-F6D0-4E38-B9C5-88CC4F701019
Q57265,Omar al-Bashir,Q14948193,President of Sudan,1989-06-30,2019-04-11,Q57265-60477ef0-44e4-de94-5eaf-49dc3a29ee5f
